displayName;name;shortDescription
Rust;rust;Rust is a systems programming language created by Mozilla.
Serverless;serverless;Serverless architecture refers to apps that depend on third-party services or custom code.
Shell;shell;A shell is a command-line tool, designed to be run by the Unix shell.
Server;server;A server is a program made to process requests and deliver data to clients.
Telegram;telegram;Telegram is a non-profit, cloud-based instant messaging service.
Twitter;twitter;Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.
Terminal;terminal;The terminal is an interface in which you can type and execute text-based commands.
Tensorflow;tensorflow;TensorFlow is an open source software library for numerical computation.
Vue.js;vue;Vue.js is a JavaScript framework for building interactive web applications.
Unity;unity;Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.
Vagrant;vagrant;Vagrant is an open-source software product for building and maintaining portable virtual software development environments.
Ubuntu;ubuntu;Ubuntu is a Linux-based operating system.
Unreal Engine;unreal-engine;Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.
Virtual reality;virtual-reality;Virtual reality is an artificial environment displayed through digital means.
Code review;code-review;Ensure your code meets quality standards and ship with confidence.
Code quality;code-quality;Automate your code review with style, quality, security, and test‑coverage checks when you need them.
Chrome extension;chrome-extension;Chrome extensions enable users to customize the Chrome browsing experience.
Deployment;deployment;Streamline your code deployment so you can focus on your product.
Support;support;Get your team and customers the help they need.
Bot;bot;A bot is an application that runs automated tasks over the Internet.
Electron;electron;Electron is a framework for building cross-platform desktop applications with web technology.
GitHub API;github-api;The GitHub API allows you to build applications that integrate with GitHub.
IPFS;ipfs;IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.
Storybook;storybook;Storybook is a UI development environment for your UI components.
Wagtail;wagtail;Wagtail is an open source CMS written in Python and built on the Django web framework.
Mobile;mobile;Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.
Google;google;Google LLC is an American multinational technology company that specializes in Internet-related services and products.
Chrome;chrome;Chrome is a web browser from the tech company Google.
Ethereum;ethereum;Ethereum is a distributed public blockchain network.
PostgreSQL;postgresql;PostgreSQL is an open source database system.
Spring Boot;spring-boot;Spring Boot is a coding and configuration model for Java applications.
REST API;rest-api;A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.
NoSQL;nosql;A NoSQL database refers to a database whose storage format is modeled differently from relational databases.
Sass;sass;Sass is a stable extension to classic CSS.
Arduino;arduino;Arduino is an open source platform for building electronic devices.
Machine learning;machine-learning;Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.
Game engine;game-engine;A game engine is a software framework used to develop and create video games.
C++;cpp;C++ is a general purpose and object-oriented programming language.
GraphQL;graphql;GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.
Continuous integration;continuous-integration;Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.
Firefox;firefox;Firefox is an open source web browser from Mozilla.
Git;git;Git is the most widely used version control system.
Terraform;terraform;An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.
Mongoose;mongoose;Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.
Elixir;elixir;Elixir is a dynamic, functional language designed for building scalable and maintainable applications.
Markdown;markdown;Markdown is a lightweight markup language.
Lua;lua;Lua is a lightweight, embeddable scripting language.
Java;java;Java is an object-oriented programming language used mainly for web, desktop, embedded devices and mobile applications.
C#;csharp;C# ("C sharp") is an object-oriented and type-safe programming language.
C;c;C is a general purpose programming language that first appeared in 1972.
Flask;flask;Flask is a web framework for Python based on the Werkzeug toolkit.
Bootstrap;bootstrap;Bootstrap is an HTML, CSS, and JavaScript framework.
Security;security;Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.
Swift;swift;Swift is a modern programming language focused on safety, performance, and expressivity.
SQL;sql;SQL is a standard language for storing, retrieving and manipulating data in databases.
Database;database;A database is a structured set of data held in a computer, usually a server.
Testing;testing;The act of examining behavior of the software under test to eliminate bugs and ship with more confidence.
Redux;redux;Redux is a predictable state container for JavaScript apps.
Laravel;laravel;The PHP Framework for Web Artisans.
Hacktoberfest;hacktoberfest;Hacktoberfest is a month-long celebration of open source projects, their maintainers, and the entire community of contributors.
Angular;angular;Angular is an open source web application platform.
ASP.NET;aspnet;ASP.NET is a web framework for building modern web apps and services.
Bitcoin;bitcoin;Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
CSS;css;Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.
React;react;React is an open source JavaScript library used for designing user interfaces.
Firebase;firebase;Firebase is a mobile app development platform that provides data analysis and database web services for developers.
Django;django;Django is a web application framework for Python.
Library;library;A library is a collection of resources, often created to make programming a task simpler.
Front end;frontend;Front end is the programming and layout that people see and interact with.
HTML;html;HTML is the fundamental markup language for webpages.
Express;express;Express is a minimal Node.js framework for web and mobile applications.
MongoDB;mongodb;MongoDB is an open source NoSQL document-oriented database.
PHP;php;PHP is a popular general-purpose scripting language that works particularly well for server-side web development.
API;api;An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
Cryptocurrency;cryptocurrency;A cryptocurrency is a digital currency that uses cryptography.
JavaScript;javascript;JavaScript (JS) is a lightweight interpreted programming language with first-class functions.
Python;python;Python is a dynamically typed programming language.
Algorithm;algorithm;Algorithms are self-contained sequences that carry out a variety of tasks.
Bash;bash;Bash is a shell and command language interpreter for the GNU operating system.
Docker;docker;Docker is a platform built for developers to build and run applications.
Amazon Web Services;aws;Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
MySQL;mysql;MySQL is an open source relational database management system.
Kotlin;kotlin;Kotlin is a statically typed programming language for multiplatform applications.
TypeScript;typescript;TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.
iOS;ios;iOS is the operating system for Apple's mobile products.
React Native;react-native;React Native is a JavaScript mobile framework developed by Facebook.
Go;go;Go is a programming language built to resemble a simplified version of the C programming language.
Android;android;Android is an operating system built by Google designed for mobile devices.
Linux;linux;Linux is an open source kernel.
Node.js;nodejs;Node.js is a tool for executing JavaScript in a variety of environments.
